,fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,productVariant,currencyCode,itemQuantity,itemRevenue,transactionRevenue,transactionId,pageTitle,searchKeyword,pagePathLevel1,eCommerceAction_type,eCommerceAction_step,eCommerceAction_option,timeOnSite (in minute)
0,2515546493837534633,Organic Search,2016-08-12 04:29:24,Taiwan,(not set),,,1567.0,82.0,17.0,2017-07-21,1500643403,PAGE,,,0,,9180781,Suitcase Organizer Cubes,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,26.116666666666667
1,9361741997835388618,Organic Search,2016-08-02 19:42:57,France,not available in demo dataset,,,321.0,8.0,,2017-04-13,1492114470,PAGE,,,0,,9180793,26 oz Double Wall Insulated Bottle,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,5.35
2,7313828956068851679,Referral,2016-08-03 15:24:39,United States,San Francisco,,,927.0,11.0,63.0,2017-07-27,1501198444,PAGE,,,0,,9180838,Metal Texture Roller Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,15.45
3,6036794406403793540,Organic Search,2016-08-19 16:46:58,United States,Boulder,,,1616.0,13.0,38.0,2017-07-31,1501522359,PAGE,,,0,,9180838,Metal Texture Roller Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,26.933333333333334
4,7847280609739507227,Organic Search,2016-08-01 10:30:32,Canada,not available in demo dataset,,,1222.0,45.0,53.0,2017-07-28,1501300311,PAGE,,,0,,9180838,Metal Texture Roller Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,20.366666666666667
5,1371078687799372953,Referral,2016-08-06 13:01:41,United States,Ann Arbor,67570000.0,1.0,1569.0,48.0,87.0,2017-07-26,1501111386,PAGE,,,0,0.0,9180838,Metal Texture Roller Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,26.15
6,8781227467221587011,Referral,2016-08-02 09:12:47,United States,Mountain View,24710000.0,1.0,1007.0,35.0,71.0,2017-07-27,1501203918,PAGE,,,0,0.0,9180838,Metal Texture Roller Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,16.783333333333335
7,7328657227470299189,Organic Search,2016-08-13 21:59:51,India,not available in demo dataset,,,3326.0,41.0,,2017-03-05,1488700723,PAGE,,,0,,9180842,Maze Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,55.43333333333333
8,603507101721972238,Referral,2016-08-01 17:32:38,United States,not available in demo dataset,,,372.0,20.0,,2017-03-23,1490286223,PAGE,,,0,,9180844,Gunmetal Roller Ball Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,6.2
9,2410100047658323318,Direct,2016-08-06 15:31:56,New Zealand,not available in demo dataset,,,488.0,6.0,,2017-03-06,1488836135,PAGE,,,0,,9180844,Gunmetal Roller Ball Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,8.133333333333333
10,7328657227470299189,Organic Search,2016-08-13 21:59:51,India,not available in demo dataset,,,3326.0,41.0,,2017-03-05,1488700723,PAGE,,,0,,9180844,Gunmetal Roller Ball Pen,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,55.43333333333333
11,6359403243542167475,Organic Search,2016-08-02 20:43:36,United States,not available in demo dataset,,,404.0,24.0,,2017-02-15,1487203514,PAGE,,,0,,9181019,Google Tri-blend Hoodie Grey,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,6.733333333333333
12,4563918079034331605,Organic Search,2016-08-14 11:38:31,Italy,not available in demo dataset,,,1266.0,27.0,,2017-02-15,1487175528,PAGE,,,0,,9181019,Google Tri-blend Hoodie Grey,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,21.1
13,3502451034522748027,Organic Search,2016-08-04 00:23:58,United States,not available in demo dataset,,,377.0,12.0,,2017-01-25,1485392662,PAGE,,,0,,9181573,Google Snapback Hat Black,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,6.283333333333333
14,6254574407334719565,Organic Search,2016-08-01 16:39:06,Denmark,not available in demo dataset,,,343.0,15.0,,2017-01-26,1485481041,PAGE,,,0,,9181573,Google Snapback Hat Black,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,5.716666666666667
15,1419842828452102862,Organic Search,2016-08-09 21:02:31,United States,Mountain View,,,1792.0,72.0,62.0,2017-08-01,1501605330,PAGE,,,0,,9181573,Google Snapback Hat Black,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,29.866666666666667
16,9893914155363716533,Referral,2016-08-03 08:59:16,United States,Los Angeles,,,426.0,20.0,85.0,2017-08-01,1501621677,PAGE,,,0,,9181573,Google Snapback Hat Black,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,7.1
17,8401606893927168081,Organic Search,2016-08-07 12:27:10,United States,not available in demo dataset,,,992.0,23.0,,2017-04-03,1491256189,PAGE,,,0,,9181664,Waterproof Gear Bag,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,16.533333333333335
18,997271511212133268,Referral,2016-08-03 02:09:32,United States,Mountain View,,,743.0,19.0,,2017-04-04,1491347644,PAGE,,,0,,9181664,Waterproof Gear Bag,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,12.383333333333333
19,7932128536242606019,Organic Search,2016-08-12 00:39:50,United States,not available in demo dataset,,,1763.0,36.0,,2017-04-24,1493057283,PAGE,,,0,,9181664,Waterproof Gear Bag,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,29.383333333333333
20,270151597804400653,Direct,2016-08-25 14:02:08,Germany,not available in demo dataset,,,2474.0,71.0,,2017-04-04,1491315312,PAGE,,,0,,9181664,Waterproof Gear Bag,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,41.233333333333334
21,5024679608681889824,Organic Search,2016-09-06 12:33:47,United States,Houston,123390000.0,1.0,3899.0,54.0,80.0,2017-07-15,1500148319,PAGE,,,0,0.0,9182569,Google Men's  Zip Hoodie,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,64.98333333333333
22,9277087807699365026,Organic Search,2016-08-01 12:55:51,United States,Palo Alto,,,75.0,6.0,,2017-05-22,1495491465,PAGE,,,0,,9182575,Android Men's  Zip Hoodie,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,1.25
23,6238727055806281579,Direct,2016-08-03 20:43:52,France,Paris,,,647.0,5.0,,2017-05-19,1495194424,PAGE,,,0,,9182575,Android Men's  Zip Hoodie,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,10.783333333333333
24,5423592976649570115,Social,2016-08-01 11:50:45,India,not available in demo dataset,,,132.0,7.0,,2017-02-18,1487404887,PAGE,,,0,,9182588,Android Women's Fleece Hoodie,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,2.2
25,1541266830764459196,Referral,2016-08-18 22:29:38,United States,San Francisco,,,2180.0,42.0,,2017-03-14,1489513212,PAGE,,,0,,9182593,Google Men's Pullover Hoodie Grey,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,36.333333333333336
26,699976157636552636,Organic Search,2016-08-05 07:17:06,Germany,not available in demo dataset,,,388.0,6.0,,2017-03-06,1488819251,PAGE,,,0,,9182593,Google Men's Pullover Hoodie Grey,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,6.466666666666667
27,7732587129685157308,Organic Search,2016-08-03 15:04:24,United States,not available in demo dataset,,,701.0,10.0,,2017-03-14,1489506359,PAGE,,,0,,9182593,Google Men's Pullover Hoodie Grey,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,11.683333333333334
28,2202664573111437742,Organic Search,2016-08-03 18:52:07,United States,not available in demo dataset,,,361.0,19.0,,2017-03-10,1489170117,PAGE,,,0,,9182663,Google Women's Short Sleeve Badge Tee Red Heather,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,6.016666666666667
29,9168169211376831714,Organic Search,2016-08-15 18:59:36,United States,San Francisco,,,1878.0,20.0,,2017-04-15,1492256028,PAGE,,,0,,9182721,Google Men's 100% Cotton Short Sleeve Hero Tee Black,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,31.3
30,5943570432517890376,Organic Search,2016-08-01 12:08:32,Canada,not available in demo dataset,,,1277.0,19.0,,2017-02-03,1486172706,PAGE,,,0,,9182721,Google Men's 100% Cotton Short Sleeve Hero Tee Black,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,21.283333333333335
31,8576322827547946074,Direct,2016-08-02 13:02:37,United States,not available in demo dataset,,,133.0,4.0,,2017-04-14,1492178223,PAGE,,,0,,9182721,Google Men's 100% Cotton Short Sleeve Hero Tee Black,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,2.216666666666667
32,7382833428985431536,Referral,2016-08-10 09:35:38,United States,Chicago,122390000.0,1.0,1296.0,31.0,,2017-04-16,1492363119,PAGE,,,0,0.0,9182721,Google Men's 100% Cotton Short Sleeve Hero Tee Black,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,21.6
33,8787831631722916694,Referral,2016-08-01 03:31:19,Guatemala,not available in demo dataset,,,131.0,3.0,,2017-02-18,1487429761,PAGE,,,0,,9182722,Google Men's 100% Cotton Short Sleeve Hero Tee Navy,(not set),(not set),USD,,,,,,,/storeitem.html,0,1,,2.183333333333333
